web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author
"1749178924-24","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","3D打印乐高要怎么整","https://sns-webpic-qc.xhscdn.com/202506061100/887d97f035461c1ba627b110d07b190c/1040g2sg31i9laluqms005pecais13n9ghmqf9dg!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/683f7657000000002301cc8a?xsec_token=ABkfUeX_T3MBWpJKx5A3cVRMqY1-uU6sha6IDByY8jp-w=&xsec_source=","本来还有一段，不想剪了，网上有很多乐高MOC博主会发自己的原创和图纸，对了乐高studio可以生产图纸，大家也可以原创，用夜光打积木应该也挺有趣了。睡了晚安🌙
#3D打印 #乐高#乐高moc#教程#lego","[{""revie"":""icoons最好打绝版零件，普通零件打出来成本高2天前重庆57俐水作者也不高吧 0.4的喷嘴0.2的层高，小零件几分钟一个1天前湖北赞回复展开 6 条回复""},{""revie"":""永宣炫草莓macbookair 用win在里面用blender？ mac系统卡吗 我打算买一个mac win老想玩游戏昨天 01:24北京14俐水作者是之前用的软件用win比较方便而已 所以分了系统昨天 01:31湖北赞回复展开 3 条回复""},{""revie"":""高砖积木仓库24小时内发货为了打这个，我换了一个热熔嘴昨天 01:23广东赞1俐水作者你是说  粘上？昨天 01:35湖北赞回复""},{""revie"":""AD火烈鸟2天前广东赞1俐水作者1天前湖北赞回复""},{""revie"":""哒哒咩完美解决了某些moc零件贼贵的问题2天前美国72俐水作者哈哈哈 会这个软件就可以啦  他可以改零件1天前湖北赞回复展开 1 条回复""},{""revie"":""Pablo打印乐高盔甲武器怎么样，快试试昨天 06:53加拿大赞回复""},{""revie"":""銃夢牛啊1天前广东赞回复""},{""revie"":""卡卡积木MOC 官方路过昨天 00:12广东赞回复""},{""revie"":""Pu1se行家可惜studio没得宝的库吧1天前湖北赞回复""},{""revie"":""WM最近做梦老梦到.h2d----水溶支撑--1天前湖北赞回复""}]","304","俐水"
"1749178929-25","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","乐高moc末世废土风格的房屋建设！","https://sns-webpic-qc.xhscdn.com/202506061100/8cb34c307b47e653c45f619683b09782/notes_pre_post/1040g3k031f0uu194mm005nv1erd0926ahaat060!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67d43f5b000000001c003061?xsec_token=ABB-5cb5aNRPAmRw6eodTNez1L4mA3WfnW09yC9B0wYZA=&xsec_source=","#乐高 #乐高moc #乐高控 #街景积木 #乐高积木 #积木 #乐高搭建","[{""revie"":""kyna这个哪里有的入吗04-08赞回复""},{""revie"":""Infinity BuilderThis is awesome03-19赞回复""}]","80","小王子积木"
"1749178934-26","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","中国🇨🇳古建瑰宝，“醉美”千秋亭！","https://sns-webpic-qc.xhscdn.com/202506061100/8f63fd513dd5f65edba9c211e1ecc587/1040g2sg31bnvept10k6g5ne90pqg969d5qoik40!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6768be37000000000b0202b0?xsec_token=ABU5N3Zw66Sq89IgXUCxLCaxvfw2e0yJdYcUdC9O6GchU=&xsec_source=","🌟【源自1536年皇家御花园】
故宫御花园始建于明朝嘉靖年间，是帝王休闲胜地，千秋亭是御花园的C位标志性建筑，是影视经典地标场景，堪称宫中亭阁之最，独具风雅。
🌟【明代榫卯结构，品鉴欣赏佳品】
#千年榫营造积木御花园千秋亭 重檐屋顶寓意“天圆地方”，融合鲁班榫卯文化，50种榫卯构件570+零件纵横交错、阴阳共济、和谐统一，演绎东方美学，是传承文化的当代艺术品，是陈列收藏珍品。
#榫卯结构 #榫卯 #古建 #故宫 #御花园 #千秋亭 #千年榫","[{""revie"":""随心在哪里买2024-12-26赞3ONEBOT智能积木作者🍑，jing dong，you pin，🔍千年榫营造积木御花园千秋亭 就可以🛒2024-12-26赞回复展开 2 条回复""},{""revie"":""🌏刚上市吧？2024-12-26赞1ONEBOT智能积木作者是的是的2024-12-261回复""}]","21","ONEBOT智能积木"
"1749178939-27","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","《KIKI的魔法工坊》原创积木设计","https://sns-webpic-qc.xhscdn.com/202506061100/035c15d5a040698ed122adec72b100a2/spectrum/1040g0k031gg69f373ce05ncca7ng8q4gfa2of9g!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/68049d1f000000001d002f99?xsec_token=ABHcuAWu-MUgjypbXcSrQeSu2vTw_40qMLvm4hhdersNU=&xsec_source=","故事介绍：
白天，Kiki是工坊里整理数据的普通文员，咖啡与键盘声填满八小时；
夜幕降临后，她披上星辉斗篷，穿行于城市暗面，用魔法修补崩裂的时空罅隙。
她的秘密工坊里，坩埚永远咕嘟作响——那瓶标着“维C补充剂”的绿色液体，实则是用月光、龙血和凌晨三点的梦境萃取而成，能中和跨界穿梭带来的能量裂解。
当晨光穿透水晶瓶架时，Kiki会数着熬夜拯救世界而新增的细纹轻笑：“今日份的平衡，达成。”
毕竟，拯救世界和月底报表，她都得准时交差。
	
作者寄语：
	
已经好久好久没有专心去钻研一个作品了，这次kiki的设计比赛让我又找回了那一种久违的设计状态。
不知道从什么时候开始日常生活中相处得最多的就是键盘、屏幕、鼠标和咖啡杯，只有晚上短短的三个小时能让我造梦。
我在studio里把kiki复制粘贴，他就能一边努力工作赚钱一边去拯救世界，他仿佛在两种身份里都能成为他人的英雄。
真希望我也能分身。
	
此作品为本人与丁丁原创，禁止抄袭。
	
﻿#积木﻿ ﻿#lego﻿ ﻿#积木moc﻿ ﻿#大人也要玩玩具﻿ ﻿#原创设计﻿ ﻿#产品设计﻿ ﻿#未及积木﻿ ﻿#我的生活AB面","[{""revie"":""kiki不想上班天呐！！！看我刷到了啥守卫世界和平的英雄ki04-2111Xzwick作者04-21赞回复""},{""revie"":""半只小黄geigei04-21赞1Xzwick作者已有闺04-21赞回复""},{""revie"":""MOC酱好物分享好喜欢05-25广东1回复""},{""revie"":""大悦 ®04-201回复""},{""revie"":""麻袋XLANG大佬04-201回复""},{""revie"":""梦厉害04-22赞回复""},{""revie"":""稽稽复鸡🐔妈妈不允许我喜欢丁程鑫 我忍了 \n奶奶不允许我喜欢宋亚轩 我忍了\n小姨不允许我喜欢刘耀文 我忍了\n舅舅不允许我喜欢张真源 我忍了  \n姑妈不允许我喜欢严浩翔 我忍了\n姑父不允许我喜欢贺峻霖 我忍了\n爷爷不允许我喜欢马嘉祺 我忍不了\n神仙颜值马嘉祺💜✨人间理想马嘉祺💜✨温柔体贴马嘉祺💜✨治愈微笑马嘉祺💜✨不可替代马嘉祺💜✨深得我心马嘉祺💜✨星辰皓月马嘉祺💜✨金光闪闪马嘉祺💜✨一见钟情马嘉祺💜✨宝藏男神仙颜值马嘉祺💜✨小气球们见了都会疯狂\n以马嘉祺为圆心💜以丁程鑫为半径💛以宋亚轩为辅助💙以刘耀文与张真源为弧长🤍💚以严浩翔和贺峻霖为目的❤️画方圆百里召唤爆米花🍿   马嘉祺的认真💗丁程鑫的信心💕8分钟前广东赞回复""}]","50","Xzwick"
"1749178944-28","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","乐高拼露台_乐高积木图纸_乐高MOC_LEGO","https://sns-webpic-qc.xhscdn.com/202506061100/1a6d9036bd1ee1fb2a3fe60b58886222/spectrum/1040g34o31i6d29d3mk0g5nvk09t088ujala9et0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/683c1f6f000000000c03a722?xsec_token=ABH5VnAcj9ELARr_afPWMUtKCqsX0j4_y8NhFCw0mqnak=&xsec_source=","零件数510
by Jonas Kramm
	
﻿#乐高控﻿﻿#积木﻿﻿#乐高搭建﻿﻿#乐高﻿﻿#lego﻿﻿#小颗粒积木﻿﻿#玩具﻿﻿#乐高图纸﻿﻿#乐高moc﻿﻿#lego乐高","[]","2","酷乐星球"
"1749178946-29","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","乐高MOC 越南明信片","https://sns-webpic-qc.xhscdn.com/202506061100/226f583a83b9dc00ffc44c9481f56a4c/1040g00830t0sgin5ju5g5o74r8u08br4vmm362o!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/65865f54000000003403dfb3?xsec_token=ABur11jYv2isnmHTjQAfffKN8_4JaAHv87CskRllG0dyA=&xsec_source=","Vietname Postcard by BOI_Design
#乐高 #乐高moc #乐高搭建 #LEGO","[]","37","设计师_BOI Design_細B哥"
"1749178950-30","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","乐高大神moc鉴赏","https://sns-webpic-qc.xhscdn.com/202506061100/ad423b6d65a11c4728d5bf65025593df/1040g2sg31dic22ppgu005na2cov4cenfloc9518!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67a489cb000000001701c61f?xsec_token=ABYVwH66_L3nZ9dOm82R7svM4mEDZmJACgYbFA5GnATPM=&xsec_source=","作品来自 N.A.B.E_mocs
羽毛生动形象，鱼身用帆布处理很有意思，水花也是十分生动，虽然是一处静物，但仿佛下一秒就可以活过来
#乐高 #moc#乐高大神 #乐高控","[{""revie"":""喵の夏天这个鱼身上是用的海盗船的船帆做的么02-08赞1第二舰队玛丽02-13赞回复""},{""revie"":""小红薯63D2A79502-07赞回复""},{""revie"":""7A好强！02-071回复""},{""revie"":""Alvin我里个去太牛了02-071回复""},{""revie"":""郭笑省这个水花太牛了02-06赞回复""},{""revie"":""xhsslj这才是乐高正确的打开方式02-06赞回复""},{""revie"":""aqj10001wc02-06赞回复""}]","258","0937的乐高砖坊"
"1749178955-31","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","📣路透社透露！！6000+颗粒中世纪教堂⛪️","https://sns-webpic-qc.xhscdn.com/202506061100/917738ff0098a3f02e41554a0bd81207/notes_pre_post/1040g3k831glg62o7jue05op1sjelbo0kskr7128!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/680a1094000000000f0331b5?xsec_token=ABuq6pS6JAH7_8_QeQSUy-Bw-3zWIS5a9EGVqqxio2L6U=&xsec_source=","🧱6172片积木零件排排坐
从彩色琉璃窗到巴洛克尖顶
🪨连石砖纹路都复刻啦
还有🕊️教堂内部的长椅和讲经台也安排
🎫搭完立刻收获文艺复兴体验卡一张
💡最后灵魂拷问：
是买积木送朋友好？
还是买来当传家宝香？
#BAKA #霸卡积木 #国产积木 #街景积木 #场景 #大人也要玩玩具 #历史建筑保护 #释放拼搭原力 #霸卡BAKA #积木拼搭","[{""revie"":""koi好看诶05-23福建赞回复""},{""revie"":""小咸孙老板，哪里能下单04-25赞回复""},{""revie"":""怒怒且乐乐的脏脏有没有考虑现代化建筑04-24赞回复""},{""revie"":""名字短没有安全感好看04-24赞回复""}]","44","霸卡BAKA"
"1749178962-32","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","🍊猫：这竹子保熟吗？竹林小屋积木绝了！","https://sns-webpic-qc.xhscdn.com/202506061100/4272ce8641b48d20a73b623b6798017b/spectrum/1040g34o31gqbcvakja0g5n53740kc51j4ubt3v8!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/680f35ac00000000230122af?xsec_token=ABIL1deg7FMH2BrBD6oI0mh_x7iI0lWPUxtzLcqbJVZ2Q=&xsec_source=","救命！现在的积木已经进化到在院子里喝茶看鱼了？？
嘻嘻~是的，选上了新品体验官啦！作为Funwhole更名Lumibricks后第一款作品，这次的现代东方庭院真的让我跪了！从开箱到亮灯全程高能👇
	
✨关于让我尖叫的细节
竹林庭院的竹子居然能摆动！石板路+屏风打造""移步换景""的东方美学
池塘荷花/瓷瓶古筝/推拉门全带印刷件！连茶杯里都搭配了两种茶叶🍵（菊花茶和龙井我全都要！）
衣柜暗藏玄机和二楼的浴缸真的太会了！瓦片透光率堪比真琉璃！
✨ 差点让我摔件的抓狂时刻
竹子部分密集恐惧症预警！！拼完手指头都在抖
底盘确实有点单薄，端着挪位置时心跳180
🔥但这一切在亮灯那刻都原谅了！！
本来困得眼皮打架，插上电源那瞬间——
暖光从雕花窗透出来，庭院石板路在发光，竹叶居然会投下影子…
我蹲在茶几前看了十分钟，突然觉得这哪是积木啊，分明是把江南园林搬回家了🏡
🔥ps:拼完那天凌晨，🍊主子突然跳上书桌疯狂闻竹子零件，最后还上嘴了…
""宝啊这是塑料不是猫草！！""（设计师出来解释下仿真度！）
✨最后说点大实话：
✔️咬合度确实牛，作为国产积木之光，手感方面那是没得说了，软硬度控制得非常好，也比较有韧性，除了特殊用到的灯光件会偏硬一些，整体体验都非常完美。
✔️特点：独立开模和全印刷件，比如庭院的荷花池和二层阳台地面上的落叶，这个给拼搭的过程带来不小的惊喜。
✖️不适合急性子，建议分三天拼，2432颗粒需要拼的时间比较长，本铲屎官熬了两个晚上，还要和主子斗智斗勇抢竹子
﻿@Lumibricks灯搭﻿ ﻿#国产积木﻿ ﻿#东方美学﻿﻿#建筑积木﻿ ﻿#lumibricks灯搭﻿ ﻿#lumibricks灯光积木﻿ ﻿#小红书新品打卡﻿﻿#建筑积木﻿ ﻿#潮玩﻿ ﻿#橘猫﻿ ﻿#橘胖质检日常","[{""revie"":""Lin和积乎的熊本熊房子好像04-2812创意积木店长实在太像了04-281回复展开 1 条回复""},{""revie"":""Lumibricks灯搭太厉害了，有趣的灵魂，总能找出别样的玩法04-283回复""},{""revie"":""吃的！单品不错但是不容易融合到街景里04-30赞回复""},{""revie"":""画卿颜拍得很好，如果亮度亮些会更好看04-28赞回复""},{""revie"":""Goldfish（见过周柏豪版哇哦，恭喜体验官拍得真不错04-28赞回复""},{""revie"":""烘焙魔法熊拍的太好看04-281回复""},{""revie"":""小黄巨大怪物入侵04-281回复""},{""revie"":""Tian猫给我，竹林小屋我自己买就行04-281回复""}]","29","🍊橘胖啃砖家"
"1749178966-33","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","今天要被这棵树美晕了～🎃","https://sns-webpic-qc.xhscdn.com/202506061100/1ca17a2ff6e6b01eb4a3a1d6be1cfb0c/1040g00831e5dahek0c005psb0bmj9e9727bbaoo!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67b808e5000000002903ba56?xsec_token=ABvD9eqzBT82MSVbLhiy9VtFllZNcsAGj4R9d_ec3-HZQ=&xsec_source=","设计了两个通宵，推翻了三个版本，终于设计出第一个满意的moc#乐高 #原创设计","[{""revie"":""Mooneyes为了树买了不少棕色件02-2111贺晓嘉作者我之前一直专注买叶子，树干最近才开始买买02-21赞回复""},{""revie"":""高砖积木仓库24小时内发货👍这些配件比较好找02-23赞回复""},{""revie"":""gamemode1 wu援一个02-211回复""}]","21","贺晓嘉"
"1749178969-34","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","一栋简简单单的摩天楼｜乐高原创MOC","https://sns-webpic-qc.xhscdn.com/202506061100/1f2e391153ebfef882b6533d36a9e69e/spectrum/1040g0k030okn23md2m005p5474275dd05ta2mr8!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/64f6d1e7000000002000389f?xsec_token=ABEWIUhs3n1RfmDz31h-y9GeM3Ra9rA5PW1r76jlV3vVU=&xsec_source=","猜猜看这是哪儿？
#乐高  #乐高搭建  #乐高moc  #乐高图纸  #乐高野生代言人  #我是乐高迷  #乐高控  #积木  #国产积木  #积木拼搭  #小颗粒积木  #乐高街景  #高楼  #我的手工日常  #记录吧就现在","[{""revie"":""OKecho恒隆？😂2023-09-0511minlab作者2023-09-05赞回复""}]","34","minlab"
"1749178973-35","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","神道教神社立体模型，中式风格","https://sns-webpic-qc.xhscdn.com/202506061100/e191f99977e6f98bf25ca245b3751e1c/1040g2sg31cv8952tg8004b4ic38812efpoejae0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6790f61a0000000029009a7d?xsec_token=ABgvdMUvwZfd6l-oHjxmX53iDYXhG9aW6em40GyE_iaa0=&xsec_source=","186209#国产积木 #乐高moc #积木推荐#积木拼搭  仓库现货全在仓","[]","6","汇聚积木宝盒-高砖"
"1749178981-36","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","【原创乐高moc】太师椅","https://sns-webpic-qc.xhscdn.com/202506061100/cfb118d75411d3ff42edf48066ca2518/1040g008316dc8qqdgu6g4bni99v6pnskbv44d10!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/66ba0c8c000000000503ab5a?xsec_token=AB7tWU22BFlTJE_nZkf1N_WNwhG0m_Kjm6loOX9wyS_sI=&xsec_source=","突然发现小号的太师椅实体后还没发过
#乐高搭建 #乐高 #乐高moc #中式家具 #太师椅 #ChinaLUG","[{""revie"":""Anastasia啊啊啊啊啊啊真的很好看呐2024-08-12赞3Anastasia原来还有大号吗2024-08-12赞回复展开 2 条回复""},{""revie"":""为千年隼努力脱单@小陈不上称2024-08-12赞1小陈不上称叹茶2024-08-13赞回复""},{""revie"":""包子有创意的2024-08-16赞回复""},{""revie"":""张三的疯好好好2024-08-13赞回复""},{""revie"":""信步·凌霄不是MOC是WOC2024-08-121回复""}]","88","niaboczhe"
"1749178986-37","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","「乐高moc」KIKI的花店","https://sns-webpic-qc.xhscdn.com/202506061100/22f908f92d1566dbe4ce20288900a829/notes_pre_post/1040g3k831finool400e05o1q94m085fle8924eg!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67e672f7000000000302963c?xsec_token=ABXhpGEaLRpxOIdpbX9Fxo45DQwIYMOhAGRocVZhi-7Bk=&xsec_source=","｜尊重原创｜-｜请勿抄袭｜-｜侵权必究｜
⭐️｜已参加高砖积木2025年创想汇｜
⭐️｜作品介绍 ｜
以“KIKI的100种人生”为主题，内容为KIK作为老板在小镇上经营着一家自己的花店，过着悠闲的生活。
本次作品以中小型街景建筑为主，零件数适中，长宽高比例在实际中桌面放置占位不大。
建筑分上中下三部分，可快速拆卸，一层为花店内部可通过楼梯通往二层，二层为生活房间，楼顶为单独结构。
内部细节均有设计，不同种类的植物、花卉，以及各种生活电气、家具等。
外观设计上做出木制结构搭配墙砖和瓦片屋顶的组合，融合现代和古典的一种风格建筑。
⚠️｜声明｜
本作品均为MoonRock完全原创设计，请勿侵权抄袭二创等，侵权必究。
｜尊重原创｜-｜请勿抄袭｜-｜侵权必究｜
#乐高moc #乐高 #中国积木 #乐高搭建 #乐高街景 #街景积木 #积木 #未及积木 #高砖积木 #未及Wekki","[{""revie"":""Peter（绘画摄影版）原以为你只是moc车厉害，没想到你moc街景也这么厉害。04-08赞1MoonRock作者感谢，平时会做一些自己喜欢的发出来04-08赞回复""},{""revie"":""豫乐家YLUG越来越强啊04-01赞1MoonRock作者远总过誉了04-01赞回复""},{""revie"":""g.s想起我以前moc的花店了03-28赞1MoonRock作者致敬大佬03-28赞回复""},{""revie"":""玩乐高Forever漂亮03-28赞1MoonRock作者感谢03-281回复""}]","25","MoonRock"
"1749178991-38","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","【乐高moc】中世纪风车","https://sns-webpic-qc.xhscdn.com/202506061100/42b4971b7ce732cc7c1cd0211d30156b/1040g0083158ri5nu1c005nlir4g08sp4b5c0rsg!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6694a688000000000a006f6d?xsec_token=ABmBrU7zvGQSSVowPJ0E-9275TD17d-cQj5lJ5IZBylo4=&xsec_source=","配备了可转动风车，菜园，地下室和求生通道，改天和其他中世纪套装搭配一起看看
零件数2700+
#乐高 #乐高积木 #乐高moc #积木搭建 #乐高控 #moc #中世纪 #中世纪风格 #风车","[{""revie"":""Amorryعمر这个可以上Ideas2024-07-1513🧀GIN作者把内饰做一做，再多拍些细节就拿去投稿了2024-07-151回复展开 2 条回复""},{""revie"":""午夜地球人礼貌问问可以求图纸吗02-16赞2🧀GIN作者没做图纸喔02-17赞回复展开 1 条回复""},{""revie"":""花甲大元帅好看2024-07-15赞2🧀GIN作者谢谢~2024-07-15赞回复展开 1 条回复""},{""revie"":""豆豆豆豆豆豆好看！2024-07-15赞1🧀GIN作者2024-07-15赞回复""},{""revie"":""draz@Oxdine2024-07-3011Oxdine这个好有氛围2024-07-301回复""}]","95","🧀GIN"
"1749178993-39","https://www.xiaohongshu.com/search_result?keyword=moc%25E5%258F%25A4%25E5%25BB%25BA%25E7%25A7%25AF%25E6%259C%25A8&source=unknown","积木搭建|Raduga搭拜占庭之圣索菲亚大教堂","https://sns-webpic-qc.xhscdn.com/202506061100/c4902db0814d2ad6cb63128f87875e79/notes_pre_post/1040g3k831h0nm8q7jq8g5n5c96ukcnsfgs2pn30!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/68159078000000000b01630e?xsec_token=ABjl57McJH2hkvCedyUpmkj5xzfCBoExH_ILzNcYgVS70=&xsec_source=","个人还是喜欢拜占庭的君士坦丁堡
多于土耳其的伊斯坦布尔
喜欢作为博物馆的圣索菲亚大教堂
对圣索菲亚变清真寺的做法表遗憾
也因此没有搭宣礼塔
	
借鉴了@云垂野 圣索菲亚的平面构建
主体主要用Raduga的积木
虽然想更立体
但R家其实是十分平面化设计的积木…
于是最终结果就是正面过得去了
但别从反面看…
#raduga #sabo #avdar #kubidubi
	
#积木搭建 #早教玩具 #积木 #建筑模型 #玩不腻的益智玩具 #积木拼搭 #儿童益智玩具 #积木推荐 #沉浸式拼积木 #来玩积木 #木质玩具 #建筑积木 #拜占庭 #圣索菲亚教堂 #君士坦丁堡 #释放拼搭原力 #大人也要玩玩具","[{""revie"":""云垂野哇好棒，你这个大碗真的物尽其用了，我本来考虑过用raduga那个碗，但是感觉那个弧度不对05-0312JUSTINE生活誌作者右边是raduga套娃的盖子05-03赞回复展开 1 条回复""},{""revie"":""花与爱丽丝爱手工的vivien里面的层次也超级好看05-0411JUSTINE生活誌作者谢谢05-04赞回复""},{""revie"":""阿鸡妈爱玩积木磁力片大碗上的小揪揪是什么啊05-03赞1JUSTINE生活誌作者是sabo乌克兰的小黄顶05-03赞回复""},{""revie"":""天马行空对西方的这些教堂感兴趣？05-04赞回复""},{""revie"":""华叔05-03赞回复""}]","28","JUSTINE生活誌"
